strategy,tasks,generations,generations_with_tests,pass_rate,avg_pylint,avg_bandit_issues,avg_cyclomatic_complexity,max_cyclomatic_complexity,avg_maintainability_index
constraint_guided,82,82,82,0.8048780487804879,7.783658536585365,0.0,4.180894308943089,14,79.42925516701735
self_refine,82,82,82,0.8902439024390244,8.128658536585366,0.0,4.497967479674797,16,78.74034055009439
structured_cot,82,82,82,0.8170731707317073,5.120487804878048,0.0,3.2804878048780486,11,85.29353825549354
zero_shot,82,82,82,0.8048780487804879,4.764268292682927,0.0,3.725609756097561,16,84.34715606480367
